#Dane do łączy "z powrotem"

#początki
 184,2    1
 185,3    1
 186,4    1
 187,5    1
 188,7    1
 189,6    1
 190,8    1
 191,9    1
 192,10    1
 193,8     1
 194,12    1
 195,11    1
 196,6     1
 197,10    1
 198,13    1
 199,12    1
 200,14    1
 201,15    1
 202,16    1
 203,17    1
 204,18    1
 205,19    1
 206,20    1
 207,21    1
 208,8     1
 209,20    1
 210,22    1
 211,23    1
 212,24    1
 213,25    1
 214,19    1
 215,26    1
 216,27    1
 217,28    1
 218,27    1
 219,28    1
 220,28    1
 221,29    1
 222,30    1
 223,31    1
 224,32    1
 225,31    1
 226,33    1
 227,33    1
 228,34    1
 229,34    1
 230,35    1
 231,28    1
 232,36    1
 233,36    1
 234,37    1
 235,38    1
 236,39    1
 237,38    1
 238,40    1
 239,41    1
 240,42    1
 241,43    1
 242,42    1
 243,44    1
 244,45    1
 245,38    1
 246,46    1
 247,47    1
 248,48    1
 249,49    1
 250,50    1
 251,51    1
 252,51    1
 253,52    1
 254,53    1
 255,52    1
 256,54    1
 257,55    1
 258,55    1
 259,56    1
 260,57    1
 261,57    1
 262,58    1
 263,58    1
 264,59    1
 265,58    1
 266,60    1
 267,61    1
 268,62    1
 269,63    1
 270,64    1
 271,65    1
 272,66    1
 273,67    1
 274,65    1
 275,70    1
 276,69    1
 277,68    1
 278,28    1
 279,71    1
 280,73    1
 281,73    1
 282,72    1
 283,74    1
 284,34    1
 285,75    1
 286,75    1
 287,76    1
 288,77    1
 289,78    1
 290,79    1
 291,80    1
 292,65    1
 293,81    1
 294,82    1
 295,83    1
 296,80    1
 297,84    1
 298,85    1
 299,86    1
 300,74    1
 301,89    1
 302,88    1
 303,87    1
 304,87    1
 305,90    1
 306,91    1
 307,86    1
 308,92    1
 309,93    1
 310,94    1
 311,89    1
 312,95    1
 313,96    1
 314,97    1
 315,98    1
 316,99    1
 317,100    1
 318,101    1
 319,101    1
 320,102    1
 321,103    1
 322,102    1
 323,100    1
 324,104    1
 325,105    1
 326,106    1
 327,107    1
 328,108    1
 329,101    1
 330,109    1
 331,110    1
 332,103    1
 333,111    1
 334,112    1
 335,113    1
 336,114    1
 337,115    1
 338,116    1
 339,117    1
 340,118    1
 341,119    1
 342,115    1
 343,113    1
 344,120    1
 345,121    1
 346,122    1
 347,123    1
 348,124    1
 349,125    1
 350,92     1
 351,126    1
 352,82     1
 353,127    1
 354,128    1
 355,113    1
 356,131    1
 357,126    1
 358,130    1
 359,124    1
 360,129    1
 361,132    1
 362,133    1
 363,134    1
 364,123    1
 365,128    1
 366,120    1

#końce
 184,1    1
 185,2    1
 186,2    1
 187,2    1
 188,4    1
 189,5    1
 190,6    1
 191,3    1
 192,9    1
 193,10   1
 194,7    1
 195,7    1
 196,12   1
 197,6    1
 198,11    1
 199,13    1
 200,13    1
 201,14    1
 202,14    1
 203,15    1
 204,17    1
 205,16    1
 206,19    1
 207,20    1
 208,21    1
 209,12    1
 210,15    1
 211,22    1
 212,23    1
 213,23    1
 214,25    1
 215,24    1
 216,26    1
 217,27    1
 218,25    1
 219,19    1
 220,20    1
 221,9     1
 222,29    1
 223,30    1
 224,10    1
 225,32    1
 226,31    1
 227,32    1
 228,33    1
 229,8     1
 230,34    1
 231,35    1
 232,35    1
 233,28    1
 234,36    1
 235,37    1
 236,33    1
 237,39    1
 238,30    1
 239,40    1
 240,31    1
 241,41    1
 242,43    1
 243,42    1
 244,44    1
 245,45    1
 246,41    1
 247,46    1
 248,47    1
 249,48    1
 250,48    1
 251,47    1
 252,50    1
 253,51    1
 254,46    1
 255,53    1
 256,52    1
 257,54    1
 258,53    1
 259,43    1
 260,56    1
 261,44    1
 262,57    1
 263,55    1
 264,38    1
 265,59    1
 266,26    1
 267,60    1
 268,61    1
 269,62    1
 270,63    1
 271,63    1
 272,28    1
 273,66    1
 274,67    1
 275,65    1
 276,70    1
 277,69    1
 278,68    1
 279,69    1
 280,70    1
 281,71    1
 282,71    1
 283,72    1
 284,74    1
 285,74    1
 286,38    1
 287,64    1
 288,76    1
 289,77    1
 290,78    1
 291,79    1
 292,80    1
 293,65    1
 294,81    1
 295,82    1
 296,83    1
 297,73    1
 298,84    1
 299,85    1
 300,86    1
 301,58    1
 302,89    1
 303,88    1
 304,75    1
 305,87    1
 306,90    1
 307,91    1
 308,91    1
 309,92    1
 310,93    1
 311,94    1
 312,58    1
 313,95    1
 314,96    1
 315,58    1
 316,98    1
 317,99    1
 318,100    1
 319,97     1
 320,58     1
 321,102    1
 322,94     1
 323,102    1
 324,101    1
 325,104    1
 326,105    1
 327,106    1
 328,107    1
 329,108    1
 330,108    1
 331,109    1
 332,110    1
 333,103    1
 334,111    1
 335,112    1
 336,108    1
 337,114    1
 338,115    1
 339,116    1
 340,117    1
 341,118    1
 342,119    1
 343,118    1
 344,113    1
 345,120    1
 346,121    1
 347,121    1
 348,86     1
 349,124    1
 350,125    1
 351,124    1
 352,126    1
 353,124    1
 354,127    1
 355,128    1
 356,124    1
 357,129    1
 358,131    1
 359,130    1
 360,130    1
 361,131    1
 362,132    1
 363,133    1
 364,133    1
 365,132    1
 366,133    1
